City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
363,Nevers,FR,46.9167,3.3333,77.58,61,0,6.91,clear sky
364,Ikalamavony,MG,-21.15,46.5833,58.89,80,37,8.3,scattered clouds
365,Williston,US,48.147,-103.618,84.94,53,30,1.99,scattered clouds
366,Stonewall,CA,50.1344,-97.3268,76.78,63,2,14.18,clear sky
367,Gazli,UZ,40.1333,63.45,102.25,10,0,11.83,clear sky
368,Erbaa,TR,40.6689,36.5675,66.34,82,11,4.81,few clouds
369,Dwarka,IN,22.2394,68.9678,82.42,84,66,18.32,broken clouds
370,Havoysund,NO,70.9963,24.6622,55.63,91,60,23.04,broken clouds
371,Bumba,CD,2.1833,22.4667,70.93,96,100,3.04,overcast clouds
372,Simao,CN,22.7886,100.9748,65.21,95,78,2.1,broken clouds
373,Yerkoy,TR,39.6381,34.4672,75.6,33,0,7.63,clear sky
374,Koshurnikovo,RU,54.1667,93.3,53.69,95,51,2.59,broken clouds
375,Vila Velha,BR,-20.3297,-40.2925,82.35,71,20,10.36,few clouds
376,Fairbanks,US,64.8378,-147.7164,52.61,88,100,6.91,overcast clouds
377,Aleksandrov Gay,RU,50.147,48.5704,75.65,38,30,10.29,scattered clouds
378,Alghero,IT,40.5589,8.3181,93.29,43,0,9.22,clear sky
379,Georgetown,MY,5.4112,100.3354,78.73,95,40,0.0,scattered clouds
380,Sakakah,SA,29.9697,40.2064,108.97,12,5,6.67,clear sky
381,Bukachacha,RU,52.9833,116.9167,68.95,72,82,6.76,broken clouds
382,Ukiah,US,39.1502,-123.2078,88.43,36,0,1.01,clear sky
383,Husavik,IS,66.0449,-17.3389,51.94,81,63,6.51,broken clouds
384,Conceicao Do Araguaia,BR,-8.2578,-49.2647,96.42,22,54,10.67,broken clouds
385,Gameleira,BR,-8.5844,-35.3867,77.77,77,81,10.22,broken clouds
386,Portree,GB,57.4129,-6.1942,59.52,83,100,1.52,overcast clouds
387,Komatipoort,ZA,-25.4332,31.9548,62.06,87,51,1.14,broken clouds
388,Nagorsk,RU,59.3172,50.8078,66.34,68,90,7.2,overcast clouds
389,George Town,MY,5.4112,100.3354,78.73,95,40,0.0,scattered clouds
390,Grand Rapids,US,42.9634,-85.6681,86.09,46,2,5.99,clear sky
391,Hambantota,LK,6.1241,81.1185,79.57,81,98,19.95,overcast clouds
