City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
572,Angra Dos Reis,BR,75.42,clear sky,-23.0067,-44.3181,Mercure Angra dos Reis
573,Wanning,CN,80.04,scattered clouds,18.8003,110.3967,Paradise Hotel
577,Kudahuvadhoo,MV,82.49,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
578,Brewer,US,87.37,scattered clouds,44.7967,-68.7614,Fireside Inn & Suites
580,Blois,FR,79.18,broken clouds,47.5833,1.3333,Appart'City Blois - Appart Hôtel
581,Grafton,US,93.7,clear sky,42.207,-71.6856,The Grafton Inn
583,Tabuk,PH,76.06,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
585,Itoman,JP,84.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
588,Guigue,VE,86.56,scattered clouds,10.0853,-67.7792,La vasquereña
590,Aci Catena,IT,89.1,clear sky,37.596,15.1402,Santa Caterina Hotel
591,Felanitx,ES,95.45,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
594,Maebaru,JP,75.76,scattered clouds,33.55,130.2,Guest house Kotonoha
595,Bela,IN,86.97,overcast clouds,25.9333,81.9833,Raj Bhawan
601,Chapleau,CA,77.0,few clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
603,Terra Santa,BR,91.98,overcast clouds,-2.1042,-56.4869,Hotel Sarah
604,Shelburne,CA,81.9,clear sky,44.0787,-80.2041,The Retreat at the Farm
605,Aswan,EG,97.65,scattered clouds,24.0934,32.907,Nuba Nile
607,Saulkrasti,LV,84.78,clear sky,57.2622,24.4147,Minhauzena Unda
608,Half Moon Bay,US,75.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
609,Jaciara,BR,95.47,clear sky,-15.9653,-54.9683,Taba Hotel
610,Vanimo,PG,76.96,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
611,Bitung,ID,76.05,broken clouds,1.4451,125.1824,K2 Lembeh
612,Methoni,GR,89.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
614,Hami,CN,83.53,clear sky,42.8,93.45,Laoyutang Resort
615,Bosaso,SO,91.42,broken clouds,11.2842,49.1816,Red Sea Hotel
618,Aljezur,PT,78.06,clear sky,37.3191,-8.8033,Amazigh Hostel
622,Ushibuka,JP,76.15,clear sky,32.1906,130.0228,Hotei
625,Pittsfield,US,90.5,clear sky,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
628,Azare,NG,84.07,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
630,Oistins,BB,82.51,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
632,Sarakhs,IR,96.69,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
633,Kaura Namoda,NG,89.74,overcast clouds,12.5898,6.5779,Moonlight Hotel
634,Carauari,BR,92.32,few clouds,-4.8828,-66.8958,Hotel Fellip
635,Samarai,PG,79.59,scattered clouds,-10.6167,150.6667,Nuli Sapi
638,Auki,SB,75.81,overcast clouds,-8.7676,160.7034,Auki Motel
639,Stephenville,US,97.77,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
641,Sao Miguel Do Araguaia,BR,93.49,clear sky,-13.275,-50.1628,Hotel Executivo Palace
642,Los Aquijes,PE,77.47,clear sky,-14.0967,-75.6908,Hostal Sumac
643,Tomatlan,MX,92.12,overcast clouds,19.9333,-105.25,El Salvial
644,Hirara,JP,84.72,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
646,Dickinson,US,95.0,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
647,San Carlos,VE,85.24,broken clouds,9.6612,-68.5827,Hotel Paternopoli
